Entry	Positiv	Negativ	Pstv	Affil	Ngtv	Hostile	Strong	Power	Weak	Active	Passive	Virtue	Vice	Ovrst	ECON	POLIT	Role	SocRel	HU	Object	ComForm	IAV	DAV	IndAdj	PowTot	EnlOth	EnlTot
scarcity		X																									
scare		X			X	X	X		X	X	X							X				X					
scared		X			X	X	X		X		X							X				X					
scary		X																						X			
scatter							X			X												X					
schedule										X												X					
scheme		X			X																	X					
scholar																	X		X								X
scholarship															X											X	X
scholastic																										X	X
school								X		X											X	X				X	X
schoolroom																				X						X	X
science															X	X					X					X	X
scientific																										X	X
scientist																	X		X								X
scoff		X						X													X	X					
scold		X			X	X				X											X		X				
scorch		X				X				X												X					
score																						X					
scorn		X				X																					
scornful		X				X																					
scoundrel		X				X							X						X								
scowl		X				X				X											X	X					
scramble									X	X												X					
scrape		X								X												X					
scratch									X	X													X				
scrawl									X												X	X					
scream		X			X																X		X				
screech		X			X																X		X				
screw		X			X	X				X								X		X		X					
scrub										X													X				
scruples	X																										
scrupulous	X											X												X			
scrutinize		X								X												X					
scrutiny														X												X	X
scuffle		X				X												X									
sculpture																				X		X					
scum		X											X														
seal										X													X		X		
seaman																	X		X								
seamen																	X		X								
search							X			X												X				X	X
searcher										X							X		X								X
seat										X	X									X			X		X		
secede		X		X																		X					
secession		X		X																							
second				X			X											X				X			X		
secondary																										X	X
secrecy		X																			X						
secret		X			X																X					X	X
secretary															X	X	X		X						X		
sector															X	X											
secure	X		X				X			X				X								X					
security	X		X									X		X	X	X			X	X					X		
sedan																				X							
sedentary		X																						X			
sediment																				X							
sedition																									X		
seditious																									X		
see											X												X				X
seed																				X							
seek										X												X					
seeker										X							X		X								
seen											X												X				
seethe		X				X				X											X						
segregation		X			X	X									X	X									X		
seize		X			X	X	X			X												X			X		
seldom														X													
select								X		X												X			X		
selection										X															X		
selective	X		X							X		X													X		
self																	X		X								
self-contained	X		X				X	X				X															
self-determination																									X		
self-governing																									X		
self-government																									X		
self-respect	X		X									X															
selfish		X			X								X														
selfishness		X																									
sell										X													X				
seller																	X		X								
semantic																										X	X
semblance	X																									X	X
semester																										X	X
senate							X	X								X			X						X		
senator							X	X							X	X	X		X						X		
send										X													X				
senile		X																						X			
senior							X										X										X
sensational	X		X				X					X		X													
sense	X		X								X	X										X				X	X
senseless		X																						X			
sensible	X		X									X														X	X
sensitive	X		X																								
sensitivity	X		X																								
sensory																										X	X
sent										X													X				
sentence		X			X		X	X		X											X		X				
sentiment									X		X																
sentimental									X		X																
separate										X													X				
sequester		X						X														X					
serene	X		X				X				X																
sergeant								X									X		X						X		
serious	X		X																								
seriousness	X		X																								
sermon																					X						
serum																				X							
servant															X		X		X								
serve		X			X	X			X	X			X					X			X	X					
service		X			X	X			X			X			X			X				X			X		
servicemen																									X		
servitude		X							X									X									
set							X			X	X									X		X					
settle	X		X				X	X		X	X							X				X			X		
settlement															X	X									X		
settler																	X		X						X		
sever		X				X																		X			
severe		X			X		X						X	X													
severity		X			X		X						X														
shabby		X							X															X			
shade																							X				
shadow		X			X	X				X								X				X					
shady		X											X											X			
shaft						X												X		X		X					
shaggy		X											X											X			
shake		X		X	X					X											X	X	X				
shaker																				X							
shall																						X					
shallow		X			X				X																		
shame		X			X						X																
shameful		X																									
shameless		X						X					X														
shape							X			X												X	X				
share	X		X	X								X						X					X		X		
shark		X																									
sharp							X							X													
sharpen										X													X				
shatter						X	X			X													X				
shed																						X					
sheer														X													
sheet																				X							
shelf																				X							
shell		X			X	X	X			X								X		X			X		X		
shelter	X		X	X			X	X										X				X					
shelves																				X							
sheriff							X	X								X	X		X						X		
shield	X			X				X		X												X					
shift							X		X	X												X	X				
shine																							X				
shiny	X																							X			
ship								X		X						X			X	X			X		X		
shipment															X												
shipwreck		X																		X							
shirk		X							X	X												X					
shirt																				X							
shiver		X									X											X					
shock		X			X	X	X		X	X	X			X				X				X					
shoddy		X							X															X			
shoe				X																X							
shoot		X			X	X	X			X			X								X	X	X			X	X
shop										X					X								X				
short		X			X				X				X	X						X							
shortage		X			X				X						X												
shortcoming		X			X								X														
shorten										X													X				
shortsighted		X							X															X			
shot		X			X	X	X			X													X				
shoulder							X			X												X					
shout										X											X		X				X
shove		X				X				X													X				
show		X			X		X	X		X											X	X				X	X
shower																						X					
shrank									X		X												X				
shred		X				X				X												X					
shrew		X				X													X								
shrewd	X		X				X					X															
shrewdness	X						X					X															
shriek		X					X														X		X				
shrill		X																			X			X			
shrink									X		X												X				
shrivel		X																				X					
shroud		X																		X							
shrug		X			X	X															X		X				
shrunk									X		X												X				
shudder						X					X										X		X				
shun		X		X		X				X				X								X					
shut						X	X	X		X											X	X	X				
shutter																				X							
shy									X		X																
shyness		X							X																		
sick		X			X	X			X		X		X														
sickly		X			X				X		X		X														
sickness		X			X				X		X		X														
side				X												X		X				X	X		X		
siege		X				X												X							X		
sigh										X	X										X		X				
sight											X									X	X	X					
sign										X											X	X				X	X
signal										X											X	X				X	X
signatory																									X		
signature																				X							
signer																	X		X								
significance	X		X				X					X		X													
significant	X		X				X					X		X													
signify	X										X							X			X	X				X	X
silent											X																
silk																				X							
silly		X			X				X				X														
silver															X												
simple														X													
simplicity	X		X									X		X													
simplify	X		X							X		X										X					
simplistic		X							X															X			
simulate										X												X					
sin		X			X								X									X					
since														X													
sincere	X		X	X								X															
sincerity	X		X	X								X															
sinful		X																						X			
sing										X											X		X				
singer										X							X		X								
single																						X					
sinister		X			X	X							X														
sink									X		X									X			X				
sir								X									X		X								
sister				X													X		X								
sit																							X				
sitter											X						X		X								
situate										X												X					
sizable							X							X													
size										X												X					
skeptical		X			X								X														
sketch										X										X							
sketchy		X											X											X			
ski										X										X			X				
skill	X		X									X			X												
skillful	X		X									X															
skin										X													X				
skirmish		X				X												X									
skirt																				X							
skulk		X																				X					
slack																						X					
slacks																				X							
slam		X			X	X	X			X												X					
slander		X				X				X											X	X					
slanderer		X			X	X				X							X		X								
slanderous		X				X															X						
slap		X				X				X													X				
slash		X			X	X	X			X													X				
slaughter		X				X				X												X					
slave									X	X					X	X	X		X			X			X		
slavery															X	X											
slayer		X			X	X	X			X							X		X								
sleazy		X				X			X															X			
sleek	X																							X			
sleep											X												X				
sleepless		X																						X			
slender									X																		
slept									X		X												X				
slice										X												X					
slid																							X				
slide											X												X				
slight		X			X	X			X	X								X			X	X					
slim									X																		
slime		X																		X							
slip											X									X			X				
slipper																				X							
sloppy		X							X															X			
sloth		X							X				X														
slothful		X							X				X											X			
slow																							X				
slug		X							X				X														
sluggish		X							X				X											X			
slum															X												
slump		X			X						X												X				
sly		X			X	X							X														
smack		X				X				X												X					
small									X																		
smart	X		X				X					X										X					
smash		X			X	X	X			X		X											X				
smear		X				X				X											X	X					
smell											X												X				
smile	X		X	X							X										X		X				
smitten	X										X							X									
smoke																							X				
smoker																	X		X								
smooth										X												X					
smother		X						X		X								X				X					
smuggle		X								X												X					
snack																				X							
snap										X													X				
snare		X																		X							
snarl		X			X	X															X		X				
snatch		X			X	X	X			X													X				
sneak		X								X												X					
sneer		X								X											X	X					
snore		X								X													X				
snow											X											X	X				
so														X													
soar							X															X					
sob		X								X													X				
sober	X						X																	X			
sociable	X			X								X						X									
social				X											X	X	X	X	X								
socialism															X	X									X		
socialist															X	X	X		X						X		
society																X			X								
soft									X		X						X		X	X							
softness	X																										
soil																				X							
solace	X											X		X													
sold										X	X											X	X			X	X
soldier																	X		X						X		
sole														X													
solemn												X															
solicitor															X		X		X						X		
solid							X																				
solidarity				X			X					X				X									X		
solidity							X																				
solution	X		X																							X	X
solve										X												X					X
somber		X																						X			
son				X													X		X								
song																					X						
soon														X													
soothe	X			X						X												X					
sophisticated	X		X									X															
sore		X																						X			
soreness		X																									
sorrow		X		X	X				X		X																
sorrowful		X																						X			
sorry		X			X				X		X		X														
sort		X			X					X			X									X					
sought	X		X																			X					
soul																	X		X								
sound	X		X				X				X	X		X							X	X	X				
soundness	X		X				X					X															
sour		X											X											X			
source							X																				
south															X	X											
south-america																									X		
sovereign							X	X								X									X		
sovereignty							X	X								X									X		
soviet															X	X											
span																						X					
spank		X				X				X													X				
spare	X		X	X			X	X				X						X				X	X				
sparkle	X										X											X					
speak				X				X		X								X			X	X	X		X	X	X
speaker										X						X	X		X						X		
spear		X			X	X	X			X										X			X		X		
special	X		X									X															
specialist																	X		X								
specify										X											X	X					
spectacular	X		X				X					X		X													
spectator											X						X		X								
speculate																						X				X	X
speculation																										X	X
speculative																										X	X
speech																					X					X	X
speechless									X		X			X							X						
speed							X			X				X								X					
speedily	X													X										X			
speedy														X													
spell																					X		X				
spend									X	X	X												X				
spill		X								X												X					
spin																							X				
spinster		X															X		X								
spiritual												X															
spit																							X				
spite		X			X	X								X													
spiteful		X				X																					
splendid	X		X									X		X													
splendor	X											X															
split		X			X	X	X		X	X	X												X		X		
spoil		X			X	X																X					
spoke				X				X		X								X		X	X	X	X		X	X	X
spokesman										X							X		X								X
sponsor							X	X		X					X		X	X	X			X					
spontaneous							X					X															
sporadic									X																		
sport												X															
spot		X			X								X									X					X
spotless	X											X												X			
sprain		X									X											X					
sprang										X												X					
sprawl											X											X					
spray																							X				
spread																						X					
spreader																				X							
sprightly	X						X			X														X			
spring										X												X					
sprinkle																						X					
sprung										X												X					
spun																							X				
spur								X										X		X		X					
sputter		X								X											X	X					
squad								X											X								
squadron																									X		
squander		X								X												X					
squarely	X						X																				
squat											X												X				
squeeze							X			X													X				
stab		X				X				X													X				
stability	X		X				X					X		X													
stabilize	X		X				X	X		X				X								X					
stable	X		X				X																				
staff																			X								
stage										X												X					
stagecoach																				X							
stagger									X		X											X					
stagnant		X																						X			
stain		X									X												X				
stair																				X							
stairway																				X							
stake															X												
stale		X							X				X											X			
stalemate		X																X			X						
stalin															X	X									X		
stall						X			X													X					
stammer		X								X											X		X				
stamp		X			X	X	X			X										X			X				
stance																					X						
stand	X		X	X			X			X	X							X				X	X		X	X	X
standard								X				X															
standardize	X									X				X								X					
standpoint																					X						
standstill		X																X			X						
staple	X																										
star														X			X		X			X					
stare																							X				
stark		X			X									X													
start										X	X	X										X	X				
starter																				X							
startle		X			X	X					X							X				X					
starvation		X							X																		
starve		X							X		X											X					
state							X	X		X					X	X			X		X		X		X		X
stately	X		X					X				X															
statement																					X					X	X
statesman							X	X								X	X		X								
statesmen							X	X								X	X		X								
static		X											X											X			
station										X										X		X			X		
stationary											X																
statistics																										X	X
statuesque	X						X	X																X			
status								X							X	X									X		
statute								X								X					X				X		
statutory								X								X									X		
staunch	X		X				X																	X			
staunchness	X		X				X																				
stay																							X				
steadfast	X		X				X							X													
steadfastness	X		X				X							X													
steadily							X																				
steadiness	X		X				X																				
steady	X		X				X																				
steak																				X							
steal		X			X	X				X			X		X			X					X				
steam																							X				
steamer																				X							
steel							X								X					X							
steer								X		X													X		X		
stem											X									X		X					
step							X	X		X								X				X	X		X		
stereo																				X							
stern		X				X	X																	X			
stick		X			X		X		X	X	X		X					X		X		X	X				
stiff							X																				
stiffly							X																				
stifle		X			X	X	X	X		X								X				X					
stigma		X											X														
still							X	X		X				X				X				X					
stimulate	X							X		X												X					
stimulation	X									X																	
stimulus																					X						
sting		X				X				X												X					
stink		X																				X					
stipulate								X													X	X					
stipulation								X													X						
stir																							X				
stock															X												
stoicism							X																				
stole		X			X	X				X								X					X				
stolen		X			X	X							X					X				X					
stomach							X											X				X					
stone						X	X			X													X				
stood	X		X	X			X			X	X							X				X	X		X		
stop						X	X	X		X								X				X	X		X		
stopper																				X							
store															X							X					
storm		X			X	X	X			X												X			X		
stormy		X				X																		X			
story																				X	X					X	X
stove																				X							
straggle		X							X	X												X					
straggler		X							X																		
straight	X		X									X		X													
straightforward	X						X														X			X			
strain		X			X					X												X					
stranger																	X		X								
strangle		X				X				X													X				
strategic							X									X											
strategy																X											
straw																				X							
stray		X																				X					
stream																						X					
streamer																				X							
strength							X	X				X													X		
strengthen							X	X		X												X			X		
strenuous							X					X													X		
stress		X			X					X												X					
stretch										X													X				
stricken		X							X															X			
strict		X			X		X	X					X	X													
stride																						X					
strife		X			X	X			X	X			X												X		
strike		X			X	X	X			X			X	X	X							X	X		X		
string																				X							
stringent		X				X	X																	X			
strip						X	X			X										X		X					
strive										X												X					
striven										X												X					
stroke										X												X					
strong							X	X						X											X		
stronghold							X																		X		
strove										X												X					
struck		X			X	X	X			X												X	X				
structure										X										X		X					
struggle		X			X	X				X								X				X			X		
strut	X							X		X												X					
stubborn		X			X	X	X						X														
stubbornly		X				X	X																	X			
stubbornness		X				X	X																				
stud	X							X									X		X								
student																	X		X								X
studious	X																							X			
study		X			X					X			X									X				X	X
stuff							X			X	X									X		X					
stuffy		X			X								X														
stumble									X		X											X					
stun						X	X											X				X					
stunt		X											X														
stupendous	X											X												X			
stupid		X			X								X														
stupidity		X			X								X														
stupor		X																									
sturdy	X		X				X	X																			
stylish	X											X												X			
suave	X						X					X															
subdue						X	X	X		X								X				X			X		
subject																											X
subjection		X							X																		
subjugate		X							X		X							X				X					
subjugation		X							X									X							X		
sublime	X																							X			
submarine																X				X					X		
submerge																						X					
submission																									X		
submissive		X							X									X									
submit									X		X							X				X					
subordinate									X		X						X		X						X		
subordination																									X		
subscribe	X			X						X												X					
subscriber																	X		X								X
subscription	X			X																							
subservience		X							X									X									
subserviency																									X		
subside		X								X												X					
subsidize	X			X						X												X					
subsidy	X			X																							
subsist	X									X												X					
subsistence	X																										
substantial							X							X													
substantiate	X			X						X												X					
substitute																						X					
substitution		X																									
subtle	X		X						X			X															
subtract		X								X												X					
suburb																X											
suburban																X											
subversion		X				X		X										X							X		
subvert		X				X		X		X								X				X			X		
succeed	X		X																			X					
success	X		X												X												
successful	X		X												X												
succession																									X		
successor							X									X	X		X						X		
succumb		X							X		X											X					
such														X													
sucker		X							X										X								
sudden														X													
suffer		X			X				X		X							X				X					
sufferer		X			X				X		X						X		X								
suffice	X		X				X															X					
sufficient	X		X				X					X															
suffocate		X							X		X											X					
suffrage								X				X				X									X		
sugar																				X							
suggest											X										X	X					
suggestion																					X						
suicide													X														
suit	X		X	X								X			X	X				X	X	X			X		
suitable	X		X									X															
suitcase																				X							
sullen		X																						X			
sultan																									X		
sum										X					X							X					
summarize										X											X	X					X
summary																					X						
summit	X																										
summon							X	X		X										X	X	X			X		
sumptuous	X											X												X			
sunburn													X														
sunder		X				X				X												X					
sung										X											X		X				
sunk									X		X												X				
sunken									X		X																
super	X		X									X															
superficial		X			X				X				X														
superficiality		X											X														
superfluous		X												X										X			
superintendent							X	X							X		X		X						X		
superior	X		X				X	X				X													X		
superiority	X		X				X	X				X													X		
superlative	X		X									X		X													
supernatural												X															
superstition		X											X														
superstitious		X											X											X			
supervise																									X		
supervision																									X		
supper																				X							
supplement							X								X							X					
supplier							X								X		X		X								
supply				X			X	X		X		X			X			X				X					
support	X		X	X			X	X	X	X	X	X						X				X			X		
supporter				X												X	X		X						X		
supportive	X			X																							
suppose								X			X							X				X				X	X
suppress		X			X	X	X			X								X				X			X		
suppression		X			X	X	X	X		X								X							X		
supranational																									X		
supremacy							X	X				X													X		
supreme	X		X				X	X				X		X					X						X		
sure							X					X		X													
surface																						X					
surge	X																										
surgeon																	X		X								
surmise	X									X												X					
surmount	X							X		X												X					
surpass	X							X		X												X					
surplus							X					X			X												
surprise										X	X	X		X				X				X					
surrender									X		X					X		X					X		X		
surround							X		X	X	X												X				
surveillance							X	X		X						X										X	X
survey										X						X						X				X	X
survival	X		X				X																				
survive	X		X				X															X					
survivor	X							X									X		X								
susceptible		X							X																		
suspect		X			X	X											X		X			X			X	X	X
suspend		X								X												X					
suspension		X																									
suspicion		X			X	X																					
suspicious		X			X	X																					
sustain							X			X												X					
swallow																							X				
swam										X													X				
swear		X			X	X															X		X				
sweat											X												X				
sweep										X													X				
sweet	X		X									X								X							
sweeten	X									X												X					
sweetheart	X																X	X	X								
sweetness	X																										
swept										X													X				
swift							X							X													
swiftness	X													X										X			
swim										X													X				
swimmer										X							X		X								
swing										X													X				
swiss															X	X											
switch										X										X		X					
swollen											X																
swoon	X										X																
sword						X	X													X					X		
swore		X			X	X															X		X				
sworn	X																							X	X		
swung										X													X				
symbol																					X					X	X
symbolism																					X					X	X
symbolize	X										X							X			X	X					
symmetry	X																										
sympathetic	X		X	X																							
sympathize	X		X	X																		X					
sympathy	X		X	X																							
symphonic																					X						
symphony																					X						
symptom		X			X								X														
syndicate															X				X								
synthesis	X			X																							
syrup																				X							
system																									X		
systematic							X																				
systematically							X																				
table																				X		X				X	X
taboo		X				X																		X			
tact	X											X															
tactic																X											
tactics	X																										
tail										X												X					
tailor																	X		X			X					
taint		X				X				X												X					
take				X			X	X		X		X						X				X	X				
tale																					X						
talent	X		X				X					X															
talented	X						X					X												X			
talk										X											X		X			X	X
talker										X							X		X								
tall							X																				
tamper		X				X				X												X					
tangible																										X	X
tank																				X							
tantrum		X				X															X						
tap																				X		X					
tardy		X																						X			
target																									X		
tariff		X																									
task										X																	
taste	X		X								X	X										X					
tatter		X								X												X					
taught								X		X											X	X					X
taunt		X			X	X				X											X	X			X		
taut							X																				
tax		X			X	X									X	X		X			X	X					
taxation															X	X											
taxi																				X							
taxpayer															X	X	X		X								
tea																				X							
teach								X		X											X	X				X	X
teacher								X									X		X								X
team				X															X						X		
teamster															X		X		X								
tear		X			X	X				X	X											X	X				
tease		X				X				X											X	X					
technical															X												
technician																	X		X								
technological															X											X	X
technology															X												
tedious		X			X								X														
teenage																	X		X								
teenager																	X		X								
telegram																				X						X	X
telegraph																					X	X				X	X
television																				X						X	X
tell										X												X	X				X
teller															X		X		X								
temper		X			X	X																X					
temperance	X																										
temperate	X																							X			
tempest		X				X																					
temporarily		X																						X			
temporary									X																		
tempt	X									X												X					
temptation		X			X								X														
tenacious	X						X			X														X			
tenacity	X						X			X																	
tend				X			X	X		X	X							X				X					
tendency											X																
tender				X					X																		
tenderness	X											X															
tennis										X																	
tense		X				X																		X			
tension		X			X				X																		
tentative									X																		
term				X				X										X			X	X				X	X
terminate							X			X												X					
terrible		X			X								X	X													
terrific	X											X												X			
terrify		X								X												X					
territorial							X									X									X		
territory																X									X		
terror		X			X																						
terrorism		X				X																					
terrorize		X				X				X												X					
test								X		X								X				X					
testament																				X							
testify																					X	X					X
testimony																				X							X
texas															X	X											
text																				X						X	X
textile															X					X							
thank	X		X	X																	X		X				
thankful	X																										
theft		X				X																					
theoretical																										X	X
theory																										X	X
therapeutic	X																							X			
therapist																	X		X								
thereby														X													
therefore														X													
thermomuclear																										X	X
thick							X																				
thicken							X			X												X					
thief		X				X											X		X								
thin									X																		
thing																				X							
think																						X				X	X
thinker																	X		X								X
thirst		X																									
thirsty		X																						X			
thorn																				X							
thorny		X				X																		X			
thorough	X						X					X		X										X			
thoughtful	X		X									X														X	X
thoughtfulness	X											X															
thoughtless		X																						X			
thousand														X													
thrash		X				X				X												X					
threat		X			X	X	X						X														
threaten		X			X	X	X											X				X			X		
threshold																				X							
thrift	X																										
thrifty	X																							X			
thrill	X		X				X															X					
thrive	X						X			X																	
throw		X		X	X		X			X								X				X	X		X		
thrust							X			X												X					
thud		X																									
thunder							X																				
thus														X													
thwart		X			X	X	X	X		X								X				X			X		
ticket																				X							
tie										X										X			X				
till							X			X												X					
time						X																X	X				
timer																				X							
timid									X		X		X														
timidity		X											X														
tingle	X		X								X											X					
tiny									X																		
tire		X			X	X			X		X									X		X					
tired		X			X	X			X		X																
tiresome		X											X											X			
title																					X				X		
tnt						X														X					X		
to																						X					
toast				X																X	X	X					
tobacco															X					X							
together							X																		X		
togetherness	X																										
toil		X								X												X					
toilet																				X							
told										X													X				X
tolerable		X																									
tolerance	X			X								X															
tolerant	X		X	X								X															
tolerate	X			X						X												X					
toleration	X			X								X															
toll															X						X						
too		X			X								X	X													
top																						X					
topic																					X						
topmost	X																							X			
topple		X																				X					
torment		X				X				X												X					
torrent		X												X													
torturous		X																						X			
tory																X									X		
total							X			X				X									X				
totalitarian																									X		
totalitarianism																									X		
touch				X						X	X		X								X	X	X			X	X
touchy		X											X											X			
tough						X	X																				
tour																						X					
tourist															X		X		X								
tower																				X							
towering														X													
town																X											
township															X	X											
trace																						X				X	X
track																						X					
tractor															X					X							
trade										X					X							X					
trader															X		X		X								
tradition	X		X				X																				
traditional	X		X				X																				
traditionalist																	X		X								
tragedy		X																									
tragic		X			X								X											X			
trail										X												X					
train	X		X									X								X						X	X
traitor		X		X		X								X			X		X								
tramp		X							X								X		X								
trample		X				X				X												X					
tranquil	X		X								X																
tranquility	X																										
tranquillity																									X		
transaction										X								X									
transfer										X												X			X		
transform							X			X												X			X		
transformation							X			X																	
transgress		X								X											X	X					
translate										X											X	X				X	X
transom																				X							
transport										X										X		X					
trap		X			X	X	X	X		X								X		X			X		X		
trauma		X			X						X		X														
traumatic		X																						X			
travel	X		X							X													X				
traveler																	X		X								
traverse										X												X					
tray																				X							
treacherous		X			X	X							X														
treachery		X				X																					
treason		X				X																					
treasonous		X				X																					
treasure	X		X	X								X			X			X				X					
treasurer								X							X		X		X								
treasury															X	X											
treat	X		X							X		X										X					
treatise	X																			X							
treaty	X		X													X					X				X		
tree																				X							
tremble									X		X										X	X					
tremendous	X		X				X					X		X													
trespass		X								X												X					
trial																X											
tribal																			X								
tribe																X			X								
tribunal																									X		
tribute	X			X																	X						
trick		X			X	X				X			X					X				X					
trifle									X																		
trigger						X														X							
trillion														X	X												
trip																							X				
triumph	X		X				X	X														X					
triumphal	X						X	X																X			
triumphant	X		X				X	X																			
trivial		X							X															X			
troop							X									X			X						X		
trophy	X							X												X							
trot										X												X					
trouble		X			X						X		X									X					
troublesome		X			X								X														
truant		X																						X			
truck																				X							
trudge		X								X												X					
true	X		X	X								X		X													
trumpet																				X							
trunk																				X							
trust	X		X	X			X	X			X	X			X			X	X			X					
trustworthiness	X											X															
trustworthy	X		X	X			X				X	X															
truth	X		X									X		X												X	X
truthful	X		X									X		X													
try		X			X	X		X		X	X							X				X			X		
tumble											X											X					
tune																					X						
turbulent		X				X																		X			
turkey															X	X											
turmoil		X			X								X														
turn		X			X	X				X	X							X				X	X				
tutelage																										X	X
twin																	X		X								
twist										X													X				
twitch		X									X											X					
type										X											X	X	X			X	X
typewriter																				X							
typical												X															
tyrannical																									X		
tyranny		X			X		X	X					X			X									X		
ugly		X			X								X														
ultimate							X							X													
ultimatum		X				X															X						
unable									X		X		X														
unaccustomed		X							X															X			
unanimity																									X		
unanimous							X							X					X						X		
unarm		X							X															X			
unassured									X																		
unattractive		X											X											X			
unauthentic		X			X								X														
unavoidable		X			X									X													
unaware									X		X															X	X
unbearable		X																									
unbelievable		X			X								X	X												X	X
unbound	X																							X			
unbroken	X											X												X			
uncertain									X																		
uncertainty									X																	X	X
unchecked							X						X														
uncivil		X																						X			
uncle																	X		X								
unclean		X											X											X			
unclear		X			X								X													X	X
uncomfortable		X			X																						
uncommon	X		X											X													
unconditional														X				X									
unconquerable																									X		
unconscious											X															X	X
uncontested							X							X				X									
uncouth		X											X														
undaunted							X	X				X															
undecided									X		X																
undeniable							X							X													
undependability		X			X				X				X														
undependable		X			X				X				X														
under								X										X							X		
undergo											X							X				X					
undergone											X							X				X					
undergraduate																	X		X								X
undermine		X			X	X	X			X								X				X			X		
understand	X		X	X																		X				X	X
understandable	X											X									X			X		X	X
understood	X		X																			X					X
undertake							X			X												X					
undertaken							X			X												X					
undertaker																	X		X								
undertook							X			X												X					
underwent											X							X				X					
underworld		X																									
undesirable		X											X											X			
undetermined																										X	X
undid		X			X	X				X												X					
undignified		X											X											X			
undisputed							X	X						X				X									
undo		X			X	X				X												X					
undone		X			X	X					X											X					
undoubted	X		X				X					X		X													
undoubtedly	X		X				X					X		X													
undue		X			X								X														
uneasiness		X																									
uneasy		X			X				X															X			
uneconomical		X											X											X			
unemployed		X							X				X											X			
unemployment													X		X	X											
unequal		X			X																				X		
unequivocal							X							X							X						
uneven		X			X																						
unexpectedly		X											X														
unfailing							X							X													
unfair		X			X	X							X														
unfaithful		X							X				X														
unfamiliar		X							X				X											X			
unfavorable		X			X								X														
unfeeling		X											X											X			
unfettered																									X		
unfinished									X													X					
unfit		X			X				X				X														
unforeseen		X																						X			
unforgettable	X																							X			
unfortunate		X			X				X				X						X								
unfriendly		X											X														
ungrateful		X											X														
unguarded		X							X															X			
unhappiness		X																									
unhappy		X			X																			X			
unhealthy		X							X															X			
unhurried	X													X										X			
unification							X									X									X		
unify				X			X			X								X				X			X		
unimpeachable	X											X												X			
unimportant		X			X								X														
uninformed		X							X															X			
union							X	X							X	X			X						X		
unique	X		X											X													
unison				X			X																		X		
unite				X			X			X					X	X		X				X					
unity	X		X				X					X				X									X		
universal							X							X													
university																X										X	X
unjust		X			X	X							X											X			
unjustified		X			X	X							X														
unkind		X											X														
unknown																										X	X
unlawful		X																						X			
unleash						X	X			X								X				X			X		
unlike																								X			
unlimited	X						X							X										X			
unlucky		X			X				X				X														
unmistakable							X							X													
unmitigated							X						X	X													
unmoved		X																						X			
unnatural		X																						X			
unnecessary		X			X								X														
unnerve		X									X											X					
unnoticed		X																						X			
unobserved		X																						X			
unpleasant		X			X								X														
unpopular		X											X														
unprecedented														X													
unpredictable													X														
unprepared									X				X														
unprofitable		X																						X			
unprovoked																									X		
unqualified		X			X								X														
unquestionable							X							X													
unquestioned							X							X													
unreal													X														
unrealistic													X														
unreasonable		X																						X			X
unreliability		X			X				X				X														
unreliable		X			X				X				X														
unrest		X											X														
unrestricted								X						X													
unruly		X				X																		X			
unsafe		X				X																		X			
unsatisfactory		X			X								X														
unscrupulous		X							X				X											X			
unseen		X																						X			
unselfish	X											X															
unsettling		X																						X			
unsolve																										X	X
unsound		X							X				X											X			
unsoundness									X				X														
unspeakable		X																			X			X			
unspecified																					X						
unstable		X			X				X				X														
unsteadiness		X			X				X																		
unsteady		X			X				X																		
unsuccessful		X			X				X				X											X			
unsure									X				X														
unsureness									X				X														
untimely		X																						X			
untold							X							X							X						
untouched	X											X												X			
untrained		X							X															X			
untrue		X			X								X														
untrustworthy		X			X								X														
untruth		X				X																		X			
unusual														X													
unwavering							X	X						X													
unwilling		X			X	X		X																			
unwillingness		X			X	X	X	X																			
unwise		X			X								X													X	X
unworthy		X											X											X			
upbeat	X																							X			
upfront	X																				X			X			
upgrade	X									X												X					
upheaval		X																									
upheld	X									X											X				X		
uphold	X									X											X				X		
uplift	X									X												X					
uppermost	X		X				X							X													
upright	X		X				X																				
uprising		X		X		X																					
uproar		X		X																	X						
uproot		X								X								X				X					
upset		X			X	X	X		X	X	X											X					
upside	X																										
upstairs																				X							
upward	X																										
uranium															X	X				X							
urban															X	X									X		
urbanization															X	X											
urge							X	X		X								X				X					
urgent							X							X													
us				X																							
usable	X		X									X												X			
use										X		X	X									X	X				
useful	X		X									X															
usefulness	X											X															
useless		X			X								X														
user																	X		X								
usual														X													
usurp		X				X		X		X								X				X			X		
utilitarian	X																							X			
