Entry	Positiv	Negativ	Pstv	Affil	Ngtv	Hostile	Strong	Power	Weak	Active	Passive	Virtue	Vice	Ovrst	ECON	POLIT	Role	SocRel	HU	Object	ComForm	IAV	DAV	IndAdj	PowTot	EnlOth	EnlTot
captive		X							X		X																
capture		X			X	X	X	X		X								X				X			X		
car																				X							
card																				X							
care	X		X	X						X								X									
careen		X							X		X											X					
carefree	X																							X			
careful	X		X									X															
careless		X			X								X														
carelessness		X											X														
caress	X		X	X														X			X	X					
carpenter																	X		X								
carriage																				X							
carrier																	X		X								
carry							X			X			X									X	X				
case																						X				X	X
casework															X												
cash															X					X		X					
cast						X	X	X		X								X		X		X					
castle																									X		
casual	X		X								X	X															
casualty		X																	X								
cataclysm		X				X																					
catastrophe		X			X								X	X													
catch		X			X		X			X	X		X							X		X			X		
catcher																	X		X								
category																										X	X
catholic																			X								
caught						X	X			X								X				X			X		
causal							X			X																X	X
cause							X			X												X			X	X	X
caution																					X	X					
cautious												X															
cavalry							X									X			X						X		
cave		X			X				X		X											X			X		
cease									X		X												X				
ceaseless	X																							X			
ceiling																				X							
celebrate	X									X												X					
celebration	X		X	X						X																	
celebrity	X							X						X			X		X								
cell																				X							
cellar																				X							
cement							X													X		X			X		
censor		X						X		X				X							X	X					
censorship		X						X						X							X						
censure		X				X		X		X											X	X					
census																X											
cent															X					X							
center							X															X					
central							X																				
cereal																				X							
ceremonial	X																							X			
certain							X					X		X													
certainty							X							X													
certificate								X												X							
certification								X						X							X						
certify								X						X							X	X					
cessation																									X		
chafe		X																						X			
chain																				X		X					
chair																				X							
chairman							X	X							X	X	X		X						X		
chairmen							X	X							X	X	X		X						X		
challenge		X			X	X	X			X								X				X			X		
chamber																				X					X		
champ	X						X	X									X		X								
champion	X		X				X	X		X							X		X								
championship	X						X	X																			
chance											X											X					
chancellor							X	X								X	X		X						X		
change										X	X											X					
changeable											X																
channel								X														X					
chaos		X			X								X	X											X		
chaotic		X			X								X	X										X	X		
chapter																					X						
character												X					X		X								
characteristic																										X	X
characterize																						X				X	X
charge		X			X	X	X	X		X					X					X	X	X	X		X		
charisma	X						X					X															
charitable	X											X															
charity	X		X									X			X												
charm	X		X	X								X						X				X					
chart										X										X		X					
charter																				X		X			X		
chase		X			X	X				X													X				
chaste	X											X												X			
chastise		X				X		X		X											X	X					
chatter																					X		X				
cheap		X			X				X				X		X												
cheapen		X							X	X												X					
cheat						X											X	X	X			X					
cheater		X											X						X								
check										X					X					X		X			X		
checker																				X							
cheer	X			X						X											X	X					
cheerful	X		X																								
cheery	X		X																								
chemical																				X							
cheque															X					X							
cherish	X		X	X							X	X						X				X					
cherub	X											X					X		X								
chic	X																							X			
chicago															X	X											
chide		X				X		X		X											X	X					
chief							X	X						X			X		X								
child																	X		X								
childish		X											X											X			
children																	X		X								
chill																						X					
china															X	X											
chinese															X	X											
chip						X														X		X					
chivalrous	X											X															
chivalry	X											X															
choice											X																
choke		X			X	X			X											X			X				
choose											X											X					
chore		X			X																						
chose											X											X					
chosen	X		X								X	X										X					
christ																	X		X								
christendom																									X		
chronic		X			X				X		X		X	X													
chuckle											X										X		X				
chum	X																X	X	X								
cigarette																				X							
circle		X			X		X			X			X	X									X				
circulation										X																	
cite																					X		X				
citizen																X	X		X						X		
citizenship																									X		
city															X	X											
civic																X			X						X		
civil	X		X													X	X		X						X		
civilian																X	X		X						X		
civility	X									X		X															
civilization	X		X																								
civilize	X		X					X														X					X
claim															X						X	X			X		
clamor		X											X								X						
clamorous		X																			X			X			
clandestine																										X	X
clarification																										X	X
clarify	X		X							X											X	X					X
clarity	X		X											X												X	X
clash		X				X		X		X								X				X					
class																			X								
classic	X		X																		X						
classification										X																X	X
classify										X												X					X
classroom																				X						X	X
clatter		X																			X						
clay																				X							
clean	X		X							X		X			X							X					
cleanliness	X											X															
cleanse	X									X													X				
clear	X		X					X						X	X						X	X				X	X
clearness	X																										
clergyman																	X		X								
clerk																	X		X								
clever	X		X				X					X															
click																						X					
client															X		X		X								
climax							X																				
climb							X			X												X					
cling									X	X												X					
clinical																										X	X
clique		X		X										X					X								
clock																				X		X					
clog		X									X											X					
close		X		X	X					X	X												X				
closeness	X																	X									
closet																				X							
cloth																				X							
clothe																				X			X				
clout	X						X	X																			
club		X		X	X	X	X			X									X	X			X		X		
clue																											X
clumsy		X											X											X			
clung									X	X												X					
cluster							X															X					
clutter		X											X														
co-operation	X		X	X								X													X		
co-ordinate																									X		
co-ordination																									X		
coach				X						X							X	X	X			X					
coachman																	X		X								
coal															X					X							
coalition				X			X	X								X			X						X		
coarse		X			X																			X			
coarseness		X											X														
coast											X											X					
coat																				X			X				
coax	X									X								X			X	X					
cockiness		X					X	X					X														
cockpit																				X							
cocktail																				X							
cocky		X					X	X																X			
cocoa																				X							
